Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.176373596
15601,Ancient Chestpiece,46,Armor,Mail,60347,12069,11924588,11889500,7,7,12710384,40086486,43442394,1,39616394,11815060,0.01,0.01,,
15602,Ancient Crown,45,Armor,Mail,41985,8397,36618565,39432300,4,4,33193244,39377875,35851577,2,38709667,8285108,0.01,0.01,,
15605,Ancient Gauntlets,42,Armor,Mail,22638,4527,4284013,2494100,4,4,5112794,32455932,31130290,2,35233111,8567470,0.01,0.01,,
15606,Ancient Belt,41,Armor,Mail,21037,4207,7784488,6379100,5,5,16772017,21207214,21929414,1,24474498,5175141,0.01,0.01,,
15607,Ancient Legguards,44,Armor,Mail,54285,10857,21409601,84856500,1,1,13419555,43836371,37164476,2,46084490,8611649,0.01,0.01,,
15608,Ancient Pauldrons,44,Armor,Mail,40782,8156,22371926,21905800,3,3,18992951,21523965,18045715,2,21830739,4637371,0.01,0.01,,
15609,Bonelink Armor,47,Armor,Mail,68873,13774,29921321,24999900,11,11,30256981,36022563,34182462,2,41001672,13838419,0.01,0.01,,
15610,Bonelink Bracers,43,Armor,Mail,25545,5109,24581123,24551500,7,7,25415790,29956886,32163750,1,28793663,1807814,0.01,0.01,,
15612,Bonelink Gauntlets,44,Armor,Mail,25140,5028,34722145,33399900,6,6,30206018,37057386,32808829,2,42398788,6014848,0.01,0.01,,
15613,Bonelink Belt,42,Armor,Mail,21637,4327,10600035,24619100,4,4,22353272,28305797,28454298,2,29277791,5594766,0.01,0.01,,
15614,Bonelink Sabatons,45,Armor,Mail,40728,8145,6096805,3921200,7,7,28980705,28955006,26120626,1,30432088,6476584,0.01,0.01,,
15615,Bonelink Helmet,46,Armor,Mail,44156,8831,23511142,22270200,3,3,12813805,22136960,23273788,1,27405170,3458119,0.01,0.01,,
15616,Bonelink Legplates,46,Armor,Mail,59214,11842,10906116,9702200,7,7,22620713,41042998,41637961,2,41858362,11683904,0.01,0.01,,
15617,Bonelink Epaulets,45,Armor,Mail,41199,8239,25975261,16999900,8,8,27956864,23831851,23008949,2,29321438,6428908,0.01,0.01,,
15619,Gryphon Mail Belt,48,Armor,Mail,35126,7025,29754544,22999900,13,13,19894763,28318096,28089841,2,26076889,7072776,0.01,0.01,,
15620,Gryphon Mail Bracelets,47,Armor,Mail,32647,6529,18392410,3899000,5,5,51978264,29985478,27576830,1,27880825,3117357,0.01,0.01,,
15622,Gryphon Mail Breastplate,51,Armor,Mail,86537,17307,45450856,45973900,10,10,50048394,44771658,45471798,2,46306790,12349272,0.01,0.01,,
15623,Gryphon Mail Crown,50,Armor,Mail,62389,12477,25450801,25720100,8,8,27535615,25183280,21247990,2,28097614,5983925,0.01,0.01,,
15625,Gryphon Mail Gauntlets,47,Armor,Mail,34137,6827,18917932,14999900,5,5,25386589,25392097,25947331,2,24900309,7145824,0.01,0.01,,
15626,Gryphon Mail Greaves,47,Armor,Mail,51001,10200,46910673,46941600,7,7,44865835,36868188,38109881,2,34881579,5127792,0.01,0.01,,
15627,Gryphon Mail Legguards,50,Armor,Mail,84546,16909,31636452,31236600,2,2,28241257,28605641,31406972,2,32920154,10069844,0.01,0.01,,
15628,Gryphon Mail Pauldrons,48,Armor,Mail,55477,11095,4024658,2000400,5,5,39782508,21711880,19521207,2,27743205,7444988,0.01,0.01,,
15629,Formidable Bracers,48,Armor,Mail,37396,7479,25514947,30970100,7,7,21843852,30070303,27796994,2,23889749,5494745,0.01,0.01,,
15630,Formidable Sabatons,49,Armor,Mail,59778,11955,38864861,39033800,4,4,34756924,39971314,38334103,2,40701026,11072570,0.01,0.01,,
15631,Formidable Chestpiece,52,Armor,Mail,97257,19451,51801634,48755700,9,9,59386006,41989627,39809385,2,53413200,16661967,0.01,0.01,,
15634,Formidable Circlet,52,Armor,Mail,66616,13323,27391543,27367300,6,6,17632700,19327019,18772280,1,20343069,2962798,0.01,0.01,,
15635,Formidable Gauntlets,48,Armor,Mail,34594,6918,5637895,224000,5,5,13691449,25438543,22786833,2,26074890,5842899,0.01,0.01,,
15636,Formidable Belt,49,Armor,Mail,37158,7431,6679902,5069700,10,10,11515735,20016665,18406873,2,21512081,3820872,0.01,0.01,,
15637,Formidable Legguards,51,Armor,Mail,84918,16983,18955474,18773900,10,10,19068112,37632857,36909142,2,45796997,15452945,0.01,0.01,,
15638,Formidable Shoulder Pads,49,Armor,Mail,55733,11146,5074781,4372700,8,8,16159522,21309600,19636408,2,23172471,2627568,0.01,0.01,,
15639,Ironhide Bracers,50,Armor,Mail,41301,8260,36068390,35733200,8,8,35001178,35072864,35916653,2,38131975,9337133,0.01,0.01,,
15640,Ironhide Breastplate,56,Armor,Mail,118030,23606,228072614,247082900,10,10,125747890,101665369,95309691,1,130177961,55783417,0.01,0.01,,
15641,Ironhide Belt,51,Armor,Mail,44514,8902,49534976,48972400,19,19,48090393,49233717,46263198,2,50102974,18331928,0.01,0.01,,
15642,Ironhide Greaves,52,Armor,Mail,70498,14099,56191836,48630500,8,8,68776377,51652999,55825701,2,66970800,29627729,0.01,0.01,,
15644,Ironhide Gauntlets,52,Armor,Mail,47698,9539,65422421,65103100,14,14,79424430,61172725,55462441,1,70177612,33186813,0.01,0.01,,
15645,Ironhide Helmet,55,Armor,Mail,84875,16975,18303337,9970000,9,9,29487526,22077206,19411519,2,25603125,9331627,0.01,0.01,,
15646,Ironhide Legguards,55,Armor,Mail,113792,22758,25152366,19349600,18,18,70236204,67712746,60190881,2,78523739,32453902,0.01,0.01,,
15647,Ironhide Pauldrons,53,Armor,Mail,76083,15216,105110824,100968000,19,19,170355410,103183530,99818002,2,112354250,39140026,0.01,0.01,,
15649,Merciless Bracers,51,Armor,Mail,45808,9161,10873451,4882600,6,6,66083457,29302842,28338783,1,36959042,3886542,0.01,0.01,,
15650,Merciless Surcoat,57,Armor,Mail,137462,27492,79547966,76925800,13,13,128790762,71777422,68160063,2,82877483,15716269,0.01,0.01,,
15651,Merciless Crown,56,Armor,Mail,91904,18380,40409036,48860100,8,8,126593677,57960018,58399234,2,63904180,11399006,0.01,0.01,,
15653,Merciless Gauntlets,53,Armor,Mail,47247,9449,41260749,34867700,14,14,52095950,37443595,39036242,2,54804599,9258231,0.01,0.01,,
15654,Merciless Belt,54,Armor,Mail,50276,10055,39452513,35930800,12,12,50451731,41097145,38755943,2,52238814,8820902,0.01,0.01,,
15655,Merciless Legguards,56,Armor,Mail,115863,23172,246533144,9.80E+07,9,9,218919816,235560410,238088974,1,238314406,86741195,0.02,0.02,,
15656,Merciless Epaulets,54,Armor,Mail,77480,15496,24793484,24386500,11,11,23018506,26665770,23356334,2,30401232,4148769,0.01,0.01,,
15658,Impenetrable Sabatons,58,Armor,Mail,129943,25988,27017838,26894600,16,16,29366976,27349368,27747668,2,32918716,5237605,0.01,0.01,,
15659,Impenetrable Bindings,55,Armor,Mail,55782,11156,23863731,22916000,6,6,20935074,26952363,25590047,1,27797909,6818548,0.01,0.01,,
15660,Impenetrable Breastplate,58,Armor,Mail,174855,34971,3529201,2637300,10,10,9755176,15120101,14318209,2,16729967,5332070,0.02,0.01,,
15662,Impenetrable Gauntlets,57,Armor,Mail,67171,13434,133259171,126246100,12,12,174282119,134278911,130061867,2,162191355,27985391,0.01,0.01,,
15663,Impenetrable Belt,56,Armor,Mail,59994,11998,59152463,57083300,10,10,114488827,63034426,67850432,1,81820794,10333052,0.01,0.01,,
15664,Impenetrable Helmet,58,Armor,Mail,132800,26560,2468436,2439100,9,9,10846200,10192697,9555516,2,13161532,2417805,0.01,0.01,,
15665,Impenetrable Legguards,58,Armor,Mail,178047,35609,16439179,4446300,7,7,39482912,33934905,26056355,2,42405752,15958242,0.03,0.03,,
15666,Impenetrable Pauldrons,58,Armor,Mail,133762,26752,4509172,3983900,6,6,11244357,21052477,20481672,2,25265520,5199330,0.01,0.01,,
15668,Magnificent Bracers,57,Armor,Mail,68627,13725,16137698,8713400,10,10,64219941,48005366,42396533,2,54139561,6682466,0.01,0.01,,
15669,Magnificent Breastplate,58,Armor,Mail,180598,36119,32845368,33369100,3,3,34844454,32487424,29944529,2,37261873,8167721,0.02,0.02,,
15670,Magnificent Helmet,58,Armor,Mail,135658,27131,3603620,3539900,10,10,3737154,14279995,11764451,2,15110164,2858478,0.01,0.01,,
15672,Magnificent Gauntlets,58,Armor,Mail,85353,17070,6062582,4549200,15,15,17969506,10097259,9962324,3,11943472,3299222,0.02,0.01,,
15673,Magnificent Belt,57,Armor,Mail,64974,12994,68698492,68390900,16,16,79110112,71812266,66446024,2,79720324,13474730,0.01,0.01,,
15674,Magnificent Greaves,58,Armor,Mail,128007,25601,2153709,1148300,10,10,3143624,11506592,11776592,3,13438336,5134336,0.02,0.01,,
15676,Magnificent Leggings,58,Armor,Mail,172287,34457,2381872,4990000,9,9,3084293,15222953,15440233,2,15802041,5979407,0.02,0.02,,
15677,Magnificent Shoulders,58,Armor,Mail,129449,25889,9877135,9679300,10,10,11912581,12095309,11985635,2,13379473,2986506,0.01,0.01,,
15678,Triumphant Sabatons,58,Armor,Mail,129917,25983,56036243,56009800,6,6,65748295,34014749,31714985,2,35491563,17946037,0.01,0.01,,
15679,Triumphant Bracers,58,Armor,Mail,87595,17519,5632949,4875500,11,11,8736695,15088435,14139246,2,16481723,2335880,0.01,0.01,,
15680,Triumphant Chestpiece,58,Armor,Mail,174837,34967,46770052,44600500,12,12,36275592,42358049,40177468,2,53069683,12197385,0.02,0.01,,
15682,Triumphant Gauntlets,58,Armor,Mail,88555,17711,22405064,21967000,8,8,24190779,20040843,22793178,2,24287620,8752233,0.01,0.01,,
15683,Triumphant Girdle,58,Armor,Mail,88878,17775,11510058,7999900,14,14,15759513,10689291,10320014,2,13026032,3082939,0.01,0.01,,
15684,Triumphant Skullcap,58,Armor,Mail,132787,26557,15248833,14900000,8,8,22011079,16788251,15329876,2,20357793,1308206,0.01,0.01,,
15685,Triumphant Legplates,58,Armor,Mail,178030,35606,52167795,52104700,10,10,36739249,50644116,50505345,2,48129264,14838200,0.01,0.01,,
15686,Triumphant Shoulder Pads,58,Armor,Mail,133736,26747,19601616,17610100,7,7,20822819,20717283,17874327,2,22202052,2778811,0.01,0.01,,
15694,Merciless Greaves,54,Armor,Mail,76887,15377,38993993,35256700,9,9,41026563,42300762,40052387,1,44300525,6588961,0.01,0.01,,
16671,Bindings of Elements,57,Armor,Mail,73841,14768,0,0,0,0,0,1530398957,1611317203,1,1383148554,35740876,0,0,,
16672,Gauntlets of Elements,58,Armor,Mail,82484,16496,42647426000,44274469000,1,1,22669918000,2315949360,2402646992,1,2550928611,211446874,0.04,0.04,,
16673,Cord of Elements,57,Armor,Mail,78851,15770,0,0,0,0,0,1087561858,1082110483,1,921090526,22505000,0,0,,
16676,Beaststalker's Gloves,58,Armor,Mail,83709,16741,0,0,0,0,0,674702030,689916144,1,541661580,0,0,0,,
16680,Beaststalker's Belt,57,Armor,Mail,80892,16178,0,0,0,0,3.50E+08,2613949562,3660086740,1,2518782550,64199071,0.2,0.2,,
16681,Beaststalker's Bindings,57,Armor,Mail,76590,15318,4627355650,6532328800,1,1,7883482480,1071135783,802857016,1,1054010341,3825625,0.01,0.01,,
16838,Earthfury Belt,58,Armor,Mail,119044,23808,674611,648700,21,21,1244871,2743150,2348951,3,3065133,560599,0.03,0.03,,
