Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
128737,Eight of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,121443321,116328144,2,167375243,0,0,0,,
128738,Seven of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,111357742,102422330,2,103260508,0,0,0,,
128739,Six of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,103827567,89461764,1,131147898,0,0,0,,
128740,Five of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,58604618,63814390,3,68930748,0,0,0,,
128741,Four of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,121472710,142493704,2,103053328,0,0,0,,
128742,Three of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,68006701,84451334,2,91890495,0,0,0,,
128743,Two of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,0,96210309,98692020,2,95379396,0,0,0,,
128744,Ace of Hellfire,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,80558418,103566466,2,89709750,0,0,0,,
135479,Lost Mail,1,Quest,Quest,0,0,78630345,8.50E+07,4,4,85098698,139007191,111456846,6,148100004,0,0,0,,
140778,Traveler's Banking Chest,110,Quest,Quest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
142118,Telemancy Orbs,1,Quest,Quest,0,0,0,0,0,0,0,100,100,1,100,0,0,0,,
142401,Telemancy Orbs,1,Quest,Quest,0,0,3929326,3928600,6,6,1358608,7282011,5731100,6,8116559,0,0,0,,
147449,Enchanted Elven Tome,1,Quest,Quest,0,0,0,0,0,0,3.55E+09,2310197421,2068114948,2,2758809581,0,0,0,,
153603,Ace of the Tides,110,Quest,Quest,0,30000,4465869,6938200,3,3,15487767,9335175,7254421,10,10145560,0,0,0,,
153604,Ace of Squalls,110,Quest,Quest,0,30000,18857315,17990000,8,5,14637702,11929666,10134819,10,13455479,0,0,0,,
